"Date","Index","D12","E12","b/m","tbl","AAA","BAA","lty","ntis","Rfree","infl","ltr","corpr","svar","csp","CRSP_SPvw","CRSP_SPvwx"
"1879-08-01","4.07","0.1933","0.3567","NaN","NaN","NaN","NaN","NaN","NaN","0.0037354712815181462","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1879-09-01","4.22","0.195","0.3625","NaN","NaN","NaN","NaN","NaN","NaN","0.0038971976066394616","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1879-10-01","4.68","0.1967","0.3683","NaN","NaN","NaN","NaN","NaN","NaN","0.004014800326167849","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1879-11-01","4.93","0.1983","0.3742","NaN","NaN","NaN","NaN","NaN","NaN","0.004242616245562377","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1879-12-01","4.92","0.2","0.38","NaN","NaN","NaN","NaN","NaN","NaN","0.004022150036946122","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1880-01-01","5.11","0.205","0.3892","NaN","NaN","NaN","NaN","NaN","NaN","0.0036031302855844155","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1880-02-01","5.2","0.21","0.3983","NaN","NaN","NaN","NaN","NaN","NaN","0.0035516596124514892","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1880-03-01","5.3","0.215","0.4075","NaN","NaN","NaN","NaN","NaN","NaN","0.003691359562193827","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1880-04-01","5.18","0.22","0.4167","NaN","NaN","NaN","NaN","NaN","NaN","0.003691359562193827","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1880-05-01","4.77","0.225","0.4258","NaN","NaN","NaN","NaN","NaN","NaN","0.003463418008811714","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1880-06-01","4.79","0.23","0.435","NaN","NaN","NaN","NaN","NaN","NaN","0.0029926645708929526","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1880-07-01","5.01","0.235","0.4442","NaN","NaN","NaN","NaN","NaN","NaN","0.002911731501263104","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1880-08-01","5.19","0.24","0.4533","NaN","NaN","NaN","NaN","NaN","NaN","0.003345750423526863","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1880-09-01","5.18","0.245","0.4625","NaN","NaN","NaN","NaN","NaN","NaN","0.0035075397839542887","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1880-10-01","5.33","0.25","0.4717","NaN","NaN","NaN","NaN","NaN","NaN","0.003411940143906607","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
